instance type,instances running,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
t3_medium,1,1,5,3135.2,2826,3562,3135.2,0,0.0000362290
t3_medium,1,2,5,3455.3,3038,4036,1727.65,0,0.0000199640
t3_medium,1,3,5,4440.2,3585,6260,1480.07,0,0.0000171030
t3_medium,1,4,5,6016.55,5516,6404,1504.14,0,0.0000173812
t3_medium,1,5,5,6360.68,5514,7798,1272.14,0,0.0000147003
t3_medium,1,6,5,9041.9,8481,9931,1506.98,0,0.0000174140
t3_medium,1,7,5,9815.89,8763,11668,1402.27,0,0.0000162040
t3_medium,1,8,5,11204,10045,11905,1400.5,0,0.0000161836
t3_medium,1,9,5,12827.9,11553,14164,1425.32,0,0.0000164704
t3_medium,1,10,5,14166.2,12946,15081,1416.62,0,0.0000163698
t3_medium,1,11,5,15468.4,13614,17286,1406.22,0,0.0000162497
t3_medium,1,12,5,16923.1,15895,17994,1410.26,0,0.0000162963
t3_medium,1,13,5,17631.7,15811,19652,1356.29,0,0.0000156727
t3_medium,1,14,5,19936.5,18197,21030,1424.03,0,0.0000164555
t3_medium,1,15,5,21026.9,6050,22598,1401.79,0,0.0000161985
c6i_large,1,1,5,1971.6,1615,2715,1971.6,0,0.0000465517
c6i_large,1,2,5,2306.8,2154,2406,1153.4,0,0.0000272331
c6i_large,1,3,5,2871.4,2611,3005,957.133,0,0.0000225990
c6i_large,1,4,5,3827.4,2883,11884,956.85,0,0.0000225923
c6i_large,1,5,5,3878.12,3459,4773,775.624,0,0.0000183133
c6i_large,1,6,5,4285.97,3557,5432,714.328,0,0.0000168661
c6i_large,1,7,5,4865.69,3612,5953,695.098,0,0.0000164120
c6i_large,1,8,5,6447.45,6152,6895,805.931,0,0.0000190289
c6i_large,1,9,5,6678.36,6191,7867,742.04,0,0.0000175204
c6i_large,1,10,5,7144.8,3693,8664,714.48,0,0.0000168697
c6i_large,1,11,5,7912.27,6359,9064,719.298,0,0.0000169834
c6i_large,1,12,5,9229.03,6513,9789,769.086,0,0.0000181590
c6i_large,1,13,5,9698.17,6651,10776,746.013,0,0.0000176142
c6i_large,1,14,5,10322.1,9386,11405,737.295,0,0.0000174084
c6i_large,1,15,5,11117.9,9306,12049,741.196,0,0.0000175005
c6i_large,1,16,5,12285.4,3745,13119,767.836,0,0.0000181295
c6i_large,1,17,5,13026.5,12192,13725,766.263,0,0.0000180923
c6i_large,1,18,5,13517.5,3788,14408,750.973,0,0.0000177313
c6i_large,1,19,5,14302,6508,15216,752.736,0,0.0000177729
c6i_large,1,20,5,15533.5,6708,16235,776.676,0,0.0000183382
c6i_large,1,21,5,16165.4,6711,17108,769.782,0,0.0000181754
c6i_large,1,22,5,17004.7,9575,19198,772.94,0,0.0000182500
c6i_large,1,23,5,17834.1,7026,18828,775.396,0,0.0000183080
c6i_large,1,24,5,18559.6,4016,19715,773.316,0,0.0000182589
c6i_large,1,25,5,19342.6,3808,20225,773.706,0,0.0000182681
c6i_large,1,26,5,20073.9,3985,21245,772.072,0,0.0000182295
c6i_large,1,27,5,21008.6,18659,22030,778.097,0,0.0000183717
c6i_large,1,28,5,21624.6,6938,22771,772.308,0,0.0000182351
c6i_large,1,29,5,22401.1,4024,23591,772.45,0,0.0000182384
c6i_large,1,30,5,29507.6,15489,34884,983.588,0,0.0000232236
c6i_large,1,31,5,29825.5,27524,31723,962.112,0,0.0000227165
c6i_large,1,32,5,31309.4,29524,32998,978.419,0,0.0000231016
c6i_xlarge,1,1,5,1486.4,1159,1762,1486.4,0,0.0000701911
c6i_xlarge,1,2,5,2884.6,1217,7478,1442.3,0,0.0000681086
c6i_xlarge,1,3,5,1763.13,1640,1897,587.711,0,0.0000277530
c6i_xlarge,1,4,5,2002.55,1799,2116,500.637,0,0.0000236412
c6i_xlarge,1,5,5,2359.24,1995,4328,471.848,0,0.0000222817
c6i_xlarge,1,6,5,2625.07,2369,2791,437.511,0,0.0000206602
c6i_xlarge,1,7,5,2989.46,2742,3283,427.065,0,0.0000201670
c6i_xlarge,1,8,5,3291.1,2947,3579,411.387,0,0.0000194266
c6i_xlarge,1,9,5,3643.13,3371,3894,404.793,0,0.0000191152
c6i_xlarge,1,10,5,3791.22,3277,4252,379.122,0,0.0000179030
c6i_xlarge,1,11,5,4098.56,3509,4551,372.597,0,0.0000175949
