shorthand,instance type,instances running,sf,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
slambda,serverless,0,100,1,10,2271.100000,1933.000000,3448.000000,2271.100000,0.043924,0.004392
iL,c6i_large,50,100,1,10,1916.700000,1698.000000,2105.000000,1916.700000,0.022628,0.002263
iXL,c6i_xlarge,25,100,1,10,1905.800000,1655.000000,2548.000000,1905.800000,0.022499,0.002250
i2XL,c6i_2xlarge,13,100,1,5,1795.600000,1650.000000,1987.000000,1795.600000,0.011023,0.002205
i4XL,c6i_4xlarge,7,100,1,10,1802.000000,1709.000000,2032.000000,1802.000000,0.023826,0.002383
i8XL,c6i_8xlarge,4,100,1,10,2938.900000,2691.000000,3489.000000,2938.900000,0.044410,0.004441
i16XL,c6i_16xlarge,2,100,1,10,3934.000000,3564.000000,4318.000000,3934.000000,0.059447,0.005945
i32XL,c6i_32xlarge,1,100,1,10,7746.000000,7415.000000,8056.000000,7746.000000,0.117051,0.011705
nL,c6in_large,50,100,1,10,1738.900000,1667.000000,1908.000000,1738.900000,0.027388,0.002739
nXL,c6in_xlarge,25,100,1,10,1847.000000,1611.000000,2754.000000,1847.000000,0.029090,0.002909
n2XL,c6in_2xlarge,13,100,1,10,2143.600000,1735.000000,3592.000000,2143.600000,0.035112,0.003511
n4XL,c6in_4xlarge,7,100,1,5,1726.600000,1666.000000,1819.000000,1726.600000,0.015229,0.003046
n8XL,c6in_8xlarge,4,100,1,2,2951.500000,2744.000000,3159.000000,2951.500000,0.011900,0.005950
n16XL,c6in_16xlarge,2,100,1,5,3829.600000,3694.000000,4129.000000,3829.600000,0.038602,0.007720
n32XL,c6in_32xlarge,1,100,1,5,7284.600000,7072.000000,7797.000000,7284.600000,0.073429,0.014686
